,Unnamed: 0,Image,Scene,ROI,Participant,FixDur,FixNr,Start,End,X,Y,Name,NextROI,experience,X1,Y1,Distance
28,28,1,1,0,2.0,683.0,29.0,8890.0,9572.0,473.7,675.4,Floor,Elsewhere,Control,485.6,667.5,14.28
29,29,1,1,0,2.0,431.0,30.0,9579.0,10009.0,465.2,678.7,Floor,Elsewhere,Control,473.7,675.4,9.12
30,30,1,1,0,2.0,286.0,31.0,10021.0,10306.0,482.9,685.5,Floor,Elsewhere,Control,465.2,678.7,18.96
31,31,1,1,0,2.0,205.0,32.0,10469.0,10673.0,721.9,430.6,Wall_on_right,Side_wall,Control,482.9,685.5,349.42
32,32,1,1,29,2.0,392.0,33.0,10710.0,11101.0,748.0,307.4,Side_wall,Back_wall,Control,721.9,430.6,125.93
33,33,1,1,12,2.0,212.0,34.0,11150.0,11361.0,535.6,192.1,Back_wall,Elsewhere,Control,748.0,307.4,241.68
34,35,1,1,13,2.0,38.0,36.0,12004.0,12041.0,431.6,95.4,Ceiling,Side_wall,Control,535.6,192.1,142.01
35,36,1,1,29,2.0,258.0,37.0,12101.0,12358.0,701.1,282.4,Side_wall,Side_wall,Control,431.6,95.4,328.02
36,37,1,1,29,2.0,150.0,38.0,12380.0,12529.0,740.0,297.4,Side_wall,Back_wall,Control,701.1,282.4,41.69
37,38,1,1,12,2.0,410.0,39.0,12674.0,13083.0,532.7,167.9,Back_wall,Side_wall,Control,740.0,297.4,244.42
38,39,1,1,29,2.0,276.0,40.0,13125.0,13400.0,668.3,215.5,Side_wall,Lamp_above_table,Control,532.7,167.9,143.71
39,40,1,1,21,2.0,261.0,41.0,13449.0,13709.0,452.8,144.6,Lamp_above_table,Elsewhere,Control,668.3,215.5,226.86
40,41,1,1,0,2.0,184.0,42.0,13726.0,13909.0,438.6,124.3,Back_wall,Ceiling,Control,452.8,144.6,24.77
41,42,1,1,13,2.0,447.0,43.0,13935.0,14381.0,351.9,83.2,Ceiling,Back_wall,Control,438.6,124.3,95.95
42,43,1,1,12,2.0,439.0,44.0,14412.0,14850.0,270.8,135.9,Back_wall,Curtains,Control,351.9,83.2,96.72
43,44,1,1,15,2.0,712.0,45.0,14862.0,15573.0,290.3,135.1,Curtains,Wall_kitchen,Control,270.8,135.9,19.52
44,45,1,1,5,2.0,457.0,46.0,15611.0,16067.0,169.9,165.0,Wall_kitchen,Wooden_wall,Control,290.3,135.1,124.06
45,46,1,1,7,2.0,295.0,47.0,16106.0,16400.0,182.7,321.6,Wooden_wall,Stairs_wall,Control,169.9,165.0,157.12
46,47,1,1,2,2.0,132.0,48.0,16574.0,16705.0,105.7,386.5,Stairs_wall,Stairs_wall,Control,182.7,321.6,100.7
47,48,1,1,2,2.0,389.0,49.0,16730.0,17118.0,128.6,326.7,Stairs_wall,Floor,Control,105.7,386.5,64.03
48,49,1,1,9,2.0,288.0,50.0,17164.0,17451.0,247.4,500.1,Floor,Body,Control,128.6,326.7,210.19
49,50,1,1,8,2.0,410.0,51.0,17476.0,17885.0,261.1,554.5,Body,Body,Control,247.4,500.1,56.1
50,51,1,1,8,2.0,81.0,52.0,17901.0,17981.0,255.2,571.7,Body,Body,Control,261.1,554.5,18.18
51,52,1,1,8,2.0,299.0,53.0,18017.0,18315.0,366.9,540.4,Body,Body,Control,255.2,571.7,116.0
52,53,1,1,8,2.0,298.0,54.0,18324.0,18621.0,359.3,530.8,Body,Elsewhere,Control,366.9,540.4,12.24
53,54,1,1,0,2.0,350.0,55.0,18787.0,19136.0,507.0,726.3,Floor,Body,Control,359.3,530.8,245.02
54,55,1,1,8,2.0,317.0,56.0,19180.0,19496.0,479.7,550.0,Body,Elsewhere,Control,507.0,726.3,178.4
55,56,1,1,0,2.0,584.0,57.0,19519.0,20102.0,474.2,499.7,Floor,Floor,Control,479.7,550.0,50.6
56,57,1,1,9,2.0,338.0,58.0,20129.0,20466.0,389.7,488.8,Floor,Body,Control,474.2,499.7,85.2
57,58,1,1,8,2.0,259.0,59.0,20489.0,20747.0,367.9,531.4,Body,Elsewhere,Control,389.7,488.8,47.85
58,59,1,1,0,2.0,213.0,60.0,21064.0,21276.0,479.6,679.3,Floor,Elsewhere,Control,367.9,531.4,185.34
59,60,1,1,0,2.0,281.0,61.0,21327.0,21607.0,745.8,730.4,Floor,Wall_on_right,Control,479.6,679.3,271.06
60,61,1,1,33,2.0,259.0,62.0,21649.0,21907.0,761.0,557.6,Wall_on_right,Floor,Control,745.8,730.4,173.47
61,62,1,1,9,2.0,325.0,63.0,21932.0,22256.0,726.9,593.3,Floor,Floor,Control,761.0,557.6,49.37
62,63,1,1,9,2.0,270.0,64.0,22288.0,22557.0,606.8,566.6,Floor,Floor,Control,726.9,593.3,123.03
63,64,1,1,9,2.0,239.0,65.0,22581.0,22819.0,624.8,512.4,Floor,Elsewhere,Control,606.8,566.6,57.11
64,65,1,1,0,2.0,1063.0,66.0,22985.0,24047.0,460.6,688.4,Floor,Elsewhere,Control,624.8,512.4,240.7
65,66,1,1,0,2.0,335.0,67.0,24111.0,24445.0,154.1,370.3,Wooden_wall,Stairs_wall,Control,460.6,688.4,441.74
66,67,1,1,2,2.0,339.0,68.0,24466.0,24804.0,122.9,330.5,Stairs_wall,Elsewhere,Control,154.1,370.3,50.57
67,68,1,1,0,2.0,280.0,69.0,24859.0,25138.0,113.1,691.9,Floor,Table,Control,122.9,330.5,361.53
68,69,1,1,19,2.0,172.0,70.0,25353.0,25524.0,409.7,342.4,Table,Bookcase,Control,113.1,691.9,458.39
69,70,1,1,18,2.0,270.0,71.0,25551.0,25820.0,448.4,397.3,Bookcase,Windows,Control,409.7,342.4,67.17
70,71,1,1,17,2.0,204.0,72.0,25845.0,26048.0,395.6,356.4,Windows,Windows,Control,448.4,397.3,66.79
71,72,1,1,17,2.0,290.0,73.0,26088.0,26377.0,400.5,215.2,Windows,Windows,Control,395.6,356.4,141.28
72,73,1,1,17,2.0,783.0,74.0,26390.0,27172.0,396.9,226.7,Windows,Windows,Control,400.5,215.2,12.05
73,74,1,1,17,2.0,362.0,75.0,27181.0,27542.0,401.0,228.2,Windows,Windows,Control,396.9,226.7,4.37
74,75,1,1,17,2.0,566.0,76.0,27551.0,28116.0,388.9,228.7,Windows,Windows,Control,401.0,228.2,12.11
75,76,1,1,17,2.0,132.0,77.0,28128.0,28259.0,405.9,222.5,Windows,Windows,Control,388.9,228.7,18.1
76,77,1,1,17,2.0,275.0,78.0,28412.0,28686.0,457.4,176.4,Windows,Floor,Control,405.9,222.5,69.12
77,78,1,1,9,2.0,323.0,79.0,28736.0,29058.0,421.7,434.8,Floor,Elsewhere,Control,457.4,176.4,260.85
78,79,1,1,0,2.0,256.0,80.0,29079.0,29334.0,441.0,398.8,Back_chair,Back_chair,Control,421.7,434.8,40.85
79,80,1,1,23,2.0,475.0,81.0,29356.0,29830.0,488.3,416.2,Back_chair,Body,Control,441.0,398.8,50.4
80,81,1,1,8,2.0,287.0,82.0,29871.0,30157.0,396.6,543.9,Body,Floor,Control,488.3,416.2,157.21
81,82,1,1,9,2.0,231.0,83.0,30181.0,30411.0,378.7,483.6,Floor,Floor,Control,396.6,543.9,62.9
82,83,1,1,9,2.0,400.0,84.0,30465.0,30864.0,669.3,497.3,Floor,Elsewhere,Control,378.7,483.6,290.92
83,84,1,1,0,2.0,273.0,85.0,30899.0,31171.0,690.6,415.1,Radiator,Floor,Control,669.3,497.3,84.91
84,85,1,1,9,2.0,381.0,86.0,31212.0,31592.0,742.4,559.1,Floor,Wall_on_right,Control,690.6,415.1,153.03
85,86,1,1,33,2.0,155.0,87.0,31634.0,31788.0,762.4,384.9,Wall_on_right,Side_wall,Control,742.4,559.1,175.34
86,87,1,1,29,2.0,592.0,88.0,31821.0,32412.0,746.2,301.2,Side_wall,Side_wall,Control,762.4,384.9,85.25
87,88,1,1,29,2.0,317.0,89.0,32425.0,32741.0,749.5,314.8,Side_wall,Side_wall,Control,746.2,301.2,13.99
88,89,1,1,29,2.0,271.0,90.0,32883.0,33153.0,738.2,304.4,Side_wall,Elsewhere,Control,749.5,314.8,15.36
89,91,1,1,29,2.0,765.0,92.0,33814.0,34578.0,746.2,296.3,Side_wall,Chair_right,Control,738.2,304.4,11.38
90,92,1,1,31,2.0,402.0,93.0,34620.0,35021.0,647.0,406.9,Chair_right,Elsewhere,Control,746.2,296.3,148.57
91,93,1,1,0,2.0,324.0,94.0,35041.0,35364.0,690.9,410.8,Radiator,Floor,Control,647.0,406.9,44.07
92,94,1,1,9,2.0,479.0,95.0,35397.0,35875.0,665.8,523.2,Floor,Back_wall,Control,690.9,410.8,115.17
93,95,1,1,12,2.0,202.0,96.0,36003.0,36204.0,583.9,168.6,Back_wall,Ceiling,Control,665.8,523.2,363.94
94,96,1,1,13,2.0,282.0,97.0,36229.0,36510.0,559.3,101.6,Ceiling,Ceiling,Control,583.9,168.6,71.37
95,97,1,1,13,2.0,364.0,98.0,36539.0,36902.0,460.5,120.3,Ceiling,Ceiling,Control,559.3,101.6,100.55
96,98,1,1,13,2.0,282.0,99.0,36938.0,37219.0,350.8,92.9,Ceiling,Ceiling,Control,460.5,120.3,113.07
97,99,1,1,13,2.0,742.0,100.0,37226.0,37967.0,353.8,83.1,Ceiling,Elsewhere,Control,350.8,92.9,10.25
98,100,1,1,0,2.0,850.0,101.0,37999.0,38848.0,282.4,130.0,Windows,Back_wall,Control,353.8,83.1,85.43
99,101,1,1,12,2.0,465.0,102.0,39000.0,39464.0,264.1,189.1,Back_wall,Wall_kitchen,Control,282.4,130.0,61.87
100,102,1,1,5,2.0,488.0,103.0,39490.0,39977.0,186.2,159.6,Wall_kitchen,Wall_kitchen,Control,264.1,189.1,83.3
101,103,1,1,5,2.0,1100.0,104.0,39988.0,41087.0,166.9,154.9,Wall_kitchen,Wall_kitchen,Control,186.2,159.6,19.86
102,104,1,1,5,2.0,276.0,105.0,41102.0,41377.0,181.4,175.4,Wall_kitchen,Wooden_wall,Control,166.9,154.9,25.11
103,105,1,1,7,2.0,556.0,106.0,41417.0,41972.0,175.3,345.3,Wooden_wall,Stairs_wall,Control,181.4,175.4,170.01
104,106,1,1,2,2.0,407.0,107.0,41992.0,42398.0,132.9,328.6,Stairs_wall,Stairs_wall,Control,175.3,345.3,45.57
105,107,1,1,2,2.0,221.0,108.0,42566.0,42786.0,134.7,326.7,Stairs_wall,Floor,Control,132.9,328.6,2.62
106,108,1,1,9,2.0,284.0,109.0,42837.0,43120.0,214.9,511.4,Floor,Floor,Control,134.7,326.7,201.36
107,109,1,1,9,2.0,190.0,110.0,43138.0,43327.0,218.5,473.6,Floor,Body,Control,214.9,511.4,37.97
108,110,1,1,8,2.0,232.0,111.0,43357.0,43588.0,247.1,548.4,Body,Body,Control,218.5,473.6,80.08
109,111,1,1,8,2.0,392.0,112.0,43602.0,43993.0,263.9,568.7,Body,Floor,Control,247.1,548.4,26.35
110,112,1,1,9,2.0,255.0,113.0,44027.0,44281.0,336.3,509.4,Floor,Floor,Control,263.9,568.7,93.59
111,113,1,1,9,2.0,224.0,114.0,44303.0,44526.0,285.9,506.8,Floor,Floor,Control,336.3,509.4,50.47
112,114,1,1,9,2.0,248.0,115.0,44544.0,44791.0,272.3,467.8,Floor,Floor,Control,285.9,506.8,41.3
113,115,1,1,9,2.0,271.0,116.0,44800.0,45070.0,258.7,464.3,Floor,Body,Control,272.3,467.8,14.04
114,116,1,1,8,2.0,633.0,117.0,45101.0,45733.0,255.8,550.6,Body,Body,Control,258.7,464.3,86.35
115,117,1,1,8,2.0,324.0,118.0,45768.0,46091.0,350.5,528.3,Body,Body,Control,255.8,550.6,97.29
116,118,1,1,8,2.0,147.0,119.0,46268.0,46414.0,379.2,522.2,Body,Elsewhere,Control,350.5,528.3,29.34
117,119,1,1,0,2.0,637.0,120.0,46449.0,47085.0,416.2,411.5,Floor,Back_chair,Control,379.2,522.2,116.72
118,120,1,1,23,2.0,496.0,121.0,47111.0,47606.0,489.5,408.2,Back_chair,Elsewhere,Control,416.2,411.5,73.37
119,121,1,1,0,2.0,187.0,122.0,47626.0,47812.0,532.2,411.3,Floor,Floor,Control,489.5,408.2,42.81
120,122,1,1,9,2.0,500.0,123.0,47851.0,48350.0,425.0,488.4,Floor,Floor,Control,532.2,411.3,132.05
121,123,1,1,9,2.0,229.0,124.0,48513.0,48741.0,373.7,474.7,Floor,Elsewhere,Control,425.0,488.4,53.1
122,124,1,1,0,2.0,234.0,125.0,48794.0,49027.0,464.3,704.9,Floor,Elsewhere,Control,373.7,474.7,247.39
123,125,1,1,0,2.0,355.0,126.0,49042.0,49396.0,467.2,682.8,Floor,Floor,Control,464.3,704.9,22.29
124,126,1,1,9,2.0,274.0,127.0,49443.0,49716.0,439.9,425.1,Floor,Elsewhere,Control,467.2,682.8,259.14
125,127,1,1,0,2.0,391.0,128.0,49737.0,50127.0,418.6,392.0,Back_wall,Elsewhere,Control,439.9,425.1,39.36
126,129,1,1,9,2.0,206.0,130.0,50512.0,50717.0,435.3,410.0,Floor,Table,Control,418.6,392.0,24.55
127,130,1,1,19,2.0,211.0,131.0,50732.0,50942.0,410.1,407.7,Table,Elsewhere,Control,435.3,410.0,25.3
128,131,1,1,0,2.0,215.0,132.0,50966.0,51180.0,460.0,408.6,Floor,Bookcase,Control,410.1,407.7,49.91
129,132,1,1,18,2.0,103.0,133.0,51338.0,51440.0,436.9,381.8,Bookcase,Elsewhere,Control,460.0,408.6,35.38
130,133,1,1,0,2.0,267.0,134.0,51463.0,51729.0,398.0,401.8,Floor,Bookcase,Control,436.9,381.8,43.74
131,134,1,1,18,2.0,786.0,135.0,51752.0,52537.0,399.4,367.3,Bookcase,Floor,Control,398.0,401.8,34.53
132,135,1,1,9,2.0,328.0,136.0,52585.0,52912.0,481.9,498.1,Floor,Body,Control,399.4,367.3,154.64
133,136,1,1,8,2.0,464.0,137.0,52942.0,53405.0,373.5,526.6,Body,Floor,Control,481.9,498.1,112.08
134,137,1,1,9,2.0,471.0,138.0,53428.0,53898.0,375.6,475.6,Floor,Body,Control,373.5,526.6,51.04
135,138,1,1,8,2.0,273.0,139.0,53924.0,54196.0,370.6,534.0,Body,Body,Control,375.6,475.6,58.61
136,139,1,1,8,2.0,203.0,140.0,54363.0,54565.0,383.3,539.2,Body,Body,Control,370.6,534.0,13.72
137,140,1,1,8,2.0,430.0,141.0,54579.0,55008.0,365.3,526.7,Body,Body,Control,383.3,539.2,21.91
138,141,1,1,8,2.0,416.0,142.0,55017.0,55432.0,367.3,538.0,Body,Floor,Control,365.3,526.7,11.48
139,142,1,1,9,2.0,257.0,143.0,55457.0,55713.0,409.5,483.8,Floor,Floor,Control,367.3,538.0,68.69
140,143,1,1,9,2.0,185.0,144.0,55755.0,55939.0,574.0,441.8,Floor,Table,Control,409.5,483.8,169.78
141,144,1,1,19,2.0,359.0,145.0,55961.0,56319.0,527.2,418.1,Table,Back_chair,Control,574.0,441.8,52.46
142,145,1,1,23,2.0,775.0,146.0,56337.0,57111.0,486.5,410.8,Back_chair,Bookcase,Control,527.2,418.1,41.35
143,146,1,1,18,2.0,323.0,147.0,57131.0,57453.0,449.2,388.9,Bookcase,Floor,Control,486.5,410.8,43.25
144,147,1,1,9,2.0,939.0,148.0,57474.0,58412.0,481.0,409.3,Floor,Floor,Control,449.2,388.9,37.78
145,148,1,1,9,2.0,352.0,149.0,58458.0,58809.0,667.9,443.9,Floor,Elsewhere,Control,481.0,409.3,190.08
146,149,1,1,0,2.0,318.0,150.0,58853.0,59170.0,478.5,404.2,Table,Bookcase,Control,667.9,443.9,193.52
147,150,1,1,18,2.0,283.0,151.0,59186.0,59468.0,454.4,389.4,Bookcase,Back_chair,Control,478.5,404.2,28.28
148,151,1,1,23,2.0,446.0,152.0,59656.0,60101.0,427.9,372.7,Back_chair,Bookcase,Control,454.4,389.4,31.32
149,152,1,1,18,2.0,362.0,153.0,60116.0,60477.0,442.7,391.0,Bookcase,Table,Control,427.9,372.7,23.54
150,153,1,1,19,2.0,463.0,154.0,60497.0,60959.0,412.5,405.3,Table,Bookcase,Control,442.7,391.0,33.41
151,154,1,1,18,2.0,306.0,155.0,60978.0,61283.0,443.1,380.6,Bookcase,Elsewhere,Control,412.5,405.3,39.32
152,155,1,1,0,2.0,964.0,156.0,61304.0,62267.0,405.7,411.4,Bookcase,Floor,Control,443.1,380.6,48.45
153,156,1,1,9,2.0,787.0,157.0,62274.0,63060.0,399.7,418.3,Floor,Elsewhere,Control,405.7,411.4,9.14
154,157,1,1,0,2.0,353.0,158.0,63260.0,63612.0,392.6,411.4,Floor,Elsewhere,Control,399.7,418.3,9.9
155,158,1,1,0,2.0,744.0,159.0,63620.0,64363.0,405.0,416.1,Floor,Floor,Control,392.6,411.4,13.26
156,159,1,1,9,2.0,942.0,160.0,64374.0,65315.0,397.2,420.3,Floor,Windows,Control,405.0,416.1,8.86
157,160,1,1,17,2.0,644.0,161.0,65338.0,65981.0,396.5,359.6,Windows,Elsewhere,Control,397.2,420.3,60.7
158,161,1,1,0,2.0,221.0,162.0,66003.0,66223.0,404.8,409.1,Bookcase,Floor,Control,396.5,359.6,50.19
159,162,1,1,9,2.0,164.0,163.0,66234.0,66397.0,392.4,418.2,Floor,Wooden_wall,Control,404.8,409.1,15.38
160,163,1,1,7,2.0,188.0,164.0,66445.0,66632.0,213.9,386.7,Wooden_wall,Wooden_wall,Control,392.4,418.2,181.26
161,164,1,1,7,2.0,446.0,165.0,66651.0,67096.0,183.8,354.7,Wooden_wall,Body,Control,213.9,386.7,43.93
162,165,1,1,8,2.0,123.0,166.0,67271.0,67393.0,260.1,510.9,Body,Floor,Control,183.8,354.7,173.84
163,166,1,1,9,2.0,329.0,167.0,67464.0,67792.0,665.7,528.2,Floor,Floor,Control,260.1,510.9,405.97
164,167,1,1,9,2.0,355.0,168.0,67828.0,68182.0,682.3,437.0,Floor,Floor,Control,665.7,528.2,92.7
165,168,1,1,9,2.0,383.0,169.0,68211.0,68593.0,593.0,496.0,Floor,Floor,Control,682.3,437.0,107.03
166,169,1,1,9,2.0,328.0,170.0,68624.0,68951.0,673.0,538.1,Floor,Floor,Control,593.0,496.0,90.4
167,170,1,1,9,2.0,258.0,171.0,68987.0,69244.0,693.5,460.9,Floor,Side_wall,Control,673.0,538.1,79.88
168,171,1,1,29,2.0,310.0,172.0,69262.0,69571.0,698.8,427.9,Side_wall,Floor,Control,693.5,460.9,33.42
169,172,1,1,9,2.0,331.0,173.0,69739.0,70069.0,611.3,489.5,Floor,Floor,Control,698.8,427.9,107.01
170,173,1,1,9,2.0,224.0,174.0,70101.0,70324.0,540.9,429.7,Floor,Floor,Control,611.3,489.5,92.37
171,174,1,1,9,2.0,215.0,175.0,70372.0,70586.0,329.2,462.4,Floor,Floor,Control,540.9,429.7,214.21
172,175,1,1,9,2.0,282.0,176.0,70610.0,70891.0,267.5,489.9,Floor,Floor,Control,329.2,462.4,67.55
173,176,1,1,9,2.0,578.0,177.0,71108.0,71685.0,650.1,480.6,Floor,Floor,Control,267.5,489.9,382.71
174,177,1,1,9,2.0,518.0,178.0,71704.0,72221.0,620.0,481.0,Floor,Elsewhere,Control,650.1,480.6,30.1
175,178,1,1,0,2.0,502.0,179.0,72249.0,72750.0,529.6,430.1,Floor,Table,Control,620.0,481.0,103.74
176,179,1,1,19,2.0,258.0,180.0,72761.0,73018.0,519.4,414.9,Table,Elsewhere,Control,529.6,430.1,18.31
177,180,1,1,0,2.0,353.0,181.0,73059.0,73411.0,666.7,424.4,Chair_right,Elsewhere,Control,519.4,414.9,147.61
178,181,1,1,0,2.0,633.0,182.0,73451.0,74083.0,509.5,411.8,Floor,Radiator,Control,666.7,424.4,157.7
179,182,1,1,30,2.0,207.0,183.0,74134.0,74340.0,714.9,325.2,Radiator,Side_wall,Control,509.5,411.8,222.91
180,183,1,1,29,2.0,296.0,184.0,74359.0,74654.0,744.4,313.3,Side_wall,Elsewhere,Control,714.9,325.2,31.81
181,184,1,1,0,2.0,280.0,185.0,74695.0,74974.0,635.8,433.8,Chair_right,Floor,Control,744.4,313.3,162.22
182,185,1,1,9,2.0,247.0,186.0,75001.0,75247.0,590.7,492.8,Floor,Elsewhere,Control,635.8,433.8,74.26
183,187,1,1,33,2.0,411.0,188.0,75494.0,75904.0,754.0,535.2,Wall_on_right,Back_wall,Control,590.7,492.8,168.71
184,188,1,1,12,2.0,356.0,189.0,76050.0,76405.0,634.6,168.4,Back_wall,Curtains,Control,754.0,535.2,385.74
185,189,1,1,15,2.0,427.0,190.0,76446.0,76872.0,503.2,185.7,Curtains,Ceiling,Control,634.6,168.4,132.53
186,190,1,1,13,2.0,357.0,191.0,76909.0,77265.0,528.1,94.1,Ceiling,Elsewhere,Control,503.2,185.7,94.92
187,191,1,1,0,2.0,447.0,192.0,77292.0,77738.0,451.4,115.2,Ceiling,Lamp_above_table,Control,528.1,94.1,79.55
188,192,1,1,21,2.0,325.0,193.0,77746.0,78070.0,445.4,128.1,Lamp_above_table,Ceiling,Control,451.4,115.2,14.23
189,193,1,1,13,2.0,354.0,194.0,78096.0,78449.0,357.7,74.1,Ceiling,Ceiling,Control,445.4,128.1,102.99
190,194,1,1,13,2.0,505.0,195.0,78464.0,78968.0,337.9,75.6,Ceiling,Ceiling,Control,357.7,74.1,19.86
191,195,1,1,13,2.0,135.0,196.0,79134.0,79268.0,256.6,106.4,Ceiling,Ceiling,Control,337.9,75.6,86.94
192,196,1,1,13,2.0,246.0,197.0,79297.0,79542.0,338.6,79.4,Ceiling,Ceiling,Control,256.6,106.4,86.33
193,197,1,1,13,2.0,266.0,198.0,79555.0,79820.0,349.8,84.4,Ceiling,Back_wall,Control,338.6,79.4,12.27
194,198,1,1,12,2.0,230.0,199.0,79856.0,80085.0,273.0,165.4,Back_wall,Elsewhere,Control,349.8,84.4,111.62
195,200,1,1,5,2.0,348.0,201.0,80385.0,80732.0,186.1,159.6,Wall_kitchen,Wall_kitchen,Control,273.0,165.4,87.09
196,201,1,1,5,2.0,271.0,202.0,80746.0,81016.0,168.4,159.5,Wall_kitchen,Bottles,Control,186.1,159.6,17.7
197,202,1,1,6,2.0,352.0,203.0,81052.0,81403.0,195.4,292.5,Bottles,Back_wall,Control,168.4,159.5,135.71
198,203,1,1,12,2.0,151.0,204.0,81430.0,81580.0,261.2,282.5,Back_wall,Curtains,Control,195.4,292.5,66.56
199,204,1,1,15,2.0,153.0,205.0,81764.0,81916.0,309.0,265.3,Curtains,Windows,Control,261.2,282.5,50.8
200,205,1,1,17,2.0,514.0,206.0,81943.0,82456.0,389.1,229.7,Windows,Wall_kitchen,Control,309.0,265.3,87.65
201,206,1,1,5,2.0,219.0,207.0,82502.0,82720.0,187.1,169.2,Wall_kitchen,Wall_kitchen,Control,389.1,229.7,210.87
202,207,1,1,5,2.0,407.0,208.0,82738.0,83144.0,163.2,171.2,Wall_kitchen,Elsewhere,Control,187.1,169.2,23.98
203,208,1,1,0,2.0,181.0,209.0,83154.0,83334.0,156.6,154.0,Wall_kitchen,Stairs_wall,Control,163.2,171.2,18.42
204,209,1,1,2,2.0,247.0,210.0,83382.0,83628.0,143.7,311.2,Stairs_wall,Wooden_wall,Control,156.6,154.0,157.73
205,210,1,1,7,2.0,200.0,211.0,83653.0,83852.0,186.8,338.5,Wooden_wall,Floor,Control,143.7,311.2,51.02
206,211,1,1,9,2.0,234.0,212.0,84030.0,84263.0,219.1,492.5,Floor,Floor,Control,186.8,338.5,157.35
207,212,1,1,9,2.0,249.0,213.0,84300.0,84548.0,343.2,455.8,Floor,Floor,Control,219.1,492.5,129.41
208,213,1,1,9,2.0,357.0,214.0,84573.0,84929.0,343.8,403.2,Floor,Elsewhere,Control,343.2,455.8,52.6
209,215,1,1,9,2.0,473.0,216.0,85390.0,85862.0,367.7,486.2,Floor,Body,Control,343.8,403.2,86.37
210,216,1,1,8,2.0,262.0,217.0,85886.0,86147.0,375.9,536.8,Body,Floor,Control,367.7,486.2,51.26
